============================================================================
DIRBE SYSTEM SPECTRAL RESPONSE
Version:  Pass 3B data release, November 1996
          Only differs from the Pass 2B (1994) release in that wavelengths
          are now provided to three, rather than two, places after the
          decimal point.
 
This file tabulates normalized System Spectral Responses for the 10 DIRBE 
photometric bands.
============================================================================


Wavelength                          DIRBE Band
  (um)    1      2      3      4      5      6      7      8      9      10
-----------------------------------------------------------------------------
  0.997   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.005   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.013   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.020   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.028   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.036   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.045   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.053   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.061   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.069   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.078   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.086   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.095   0.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.103   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.112   0.54   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.120   0.68   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.129   0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.138   0.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.147   0.98   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  1.156   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
